date;open;high;low;close;volume;symbol;hl2;hlc3;ohlc4;hlcc4
2015-08-07;3.00000;3.00001;3.00000;3.00000;123.93057;INDEX:ETHUSD;3.00000;3.00000;3.00000;3.00000
2015-08-08;3.00000;3.00000;0.15000;1.19999;1942.88815;INDEX:ETHUSD;1.57500;1.45000;1.83750;1.38749
2015-08-11;0.79969;1.15000;0.65038;0.99000;9234.56870;INDEX:ETHUSD;0.90019;0.93013;0.89752;0.94510
2015-08-12;1.00000;1.28800;0.90500;1.28800;1736.11498;INDEX:ETHUSD;1.09650;1.16033;1.12025;1.19225
2015-08-13;1.26280;1.88480;1.26280;1.88480;2815.45076;INDEX:ETHUSD;1.57380;1.67747;1.57380;1.72930
2015-08-14;1.88345;2.10000;1.79489;1.79489;5775.80910;INDEX:ETHUSD;1.94745;1.89659;1.89331;1.87117
2015-08-15;1.70000;1.79000;1.50000;1.79000;8677.60964;INDEX:ETHUSD;1.64500;1.69333;1.69500;1.71750
2015-08-16;1.65000;1.65000;0.50000;1.58930;9867.15097;INDEX:ETHUSD;1.07500;1.24643;1.34732;1.33215
2015-08-17;1.50539;1.58000;1.25000;1.29638;3946.58359;INDEX:ETHUSD;1.41500;1.37546;1.40794;1.35569
2015-08-18;1.15000;1.36163;0.98998;1.10001;4150.63822;INDEX:ETHUSD;1.17580;1.15054;1.15040;1.13791
2015-08-19;1.10001;1.24000;1.10001;1.24000;2213.64200;INDEX:ETHUSD;1.17000;1.19334;1.17000;1.20500
2015-08-20;1.30000;1.52180;1.30000;1.52180;912.41277;INDEX:ETHUSD;1.41090;1.44787;1.41090;1.46635
2015-08-21;1.45061;1.53000;1.43588;1.43588;6006.79291;INDEX:ETHUSD;1.48294;1.46725;1.46309;1.45941
2015-08-22;1.41000;1.41000;1.40000;1.40000;229.00043;INDEX:ETHUSD;1.40500;1.40333;1.40500;1.40250
2015-08-23;1.35000;1.35002;1.31000;1.35000;258.01666;INDEX:ETHUSD;1.33001;1.33667;1.34001;1.34001
