;date;ProbTrend
0;2015-08-07;
1;2015-08-08;
2;2015-08-11;
3;2015-08-12;
4;2015-08-13;
5;2015-08-14;
6;2015-08-15;
7;2015-08-16;
8;2015-08-17;
9;2015-08-18;
10;2015-08-19;
11;2015-08-20;
12;2015-08-21;
13;2015-08-22;
14;2015-08-23;
15;2015-08-24;
16;2015-08-25;
17;2015-08-26;
18;2015-08-27;
19;2015-08-28;
20;2015-08-29;
21;2015-08-30;
22;2015-08-31;
23;2015-09-01;
24;2015-09-02;
25;2015-09-03;
26;2015-09-05;
27;2015-09-06;
28;2015-09-07;
29;2015-09-08;
30;2015-09-09;
31;2015-09-10;
32;2015-09-11;
33;2015-09-12;
34;2015-09-13;
35;2015-09-14;
36;2015-09-15;
37;2015-09-16;
38;2015-09-17;
39;2015-09-18;
40;2015-09-19;
41;2015-09-20;
42;2015-09-22;
43;2015-09-23;-1.0
44;2015-09-24;-1.0
45;2015-09-25;-1.0
46;2015-09-26;-1.0
47;2015-09-27;-1.0
48;2015-09-28;-1.0
49;2015-09-29;-1.0
50;2015-09-30;-1.0
51;2015-10-01;-1.0
52;2015-10-02;-1.0
53;2015-10-03;-1.0
54;2015-10-04;-1.0
55;2015-10-05;-1.0
56;2015-10-06;-1.0
57;2015-10-07;-1.0
58;2015-10-08;-1.0
59;2015-10-09;-1.0
60;2015-10-11;-1.0
61;2015-10-12;-1.0
62;2015-10-13;-1.0
63;2015-10-14;-1.0
64;2015-10-15;-1.0
65;2015-10-16;-1.0
66;2015-10-17;-1.0
67;2015-10-18;-1.0
68;2015-10-19;-1.0
69;2015-10-20;-1.0
70;2015-10-21;-1.0
71;2015-10-22;-1.0
72;2015-10-23;-1.0
73;2015-10-24;-1.0
74;2015-10-25;-1.0
75;2015-10-26;-1.0
76;2015-10-27;-1.0
77;2015-10-28;-1.0
78;2015-10-29;-1.0
79;2015-10-30;-1.0
80;2015-10-31;-1.0
81;2015-11-01;-1.0
82;2015-11-02;-1.0
83;2015-11-03;-1.0
84;2015-11-04;-1.0
85;2015-11-05;-1.0
86;2015-11-06;-1.0
87;2015-11-07;-1.0
88;2015-11-08;-1.0
89;2015-11-09;1.0
90;2015-11-10;1.0
91;2015-11-11;-1.0
92;2015-11-12;-1.0
93;2015-11-13;-1.0
94;2015-11-14;-1.0
95;2015-11-15;-1.0
96;2015-11-16;-1.0
97;2015-11-17;-1.0
98;2015-11-18;-1.0
99;2015-11-19;-1.0
100;2015-11-20;-1.0
101;2015-11-21;-1.0
102;2015-11-22;-1.0
103;2015-11-23;-1.0
104;2015-11-24;-1.0
105;2015-11-25;1.0
106;2015-11-26;-1.0
107;2015-11-27;-1.0
108;2015-11-28;1.0
109;2015-11-29;1.0
110;2015-11-30;1.0
111;2015-12-01;1.0
112;2015-12-02;1.0
113;2015-12-03;1.0
114;2015-12-04;1.0
115;2015-12-05;1.0
116;2015-12-06;1.0
117;2015-12-07;1.0
118;2015-12-08;1.0
119;2015-12-09;-1.0
120;2015-12-10;1.0
121;2015-12-11;1.0
122;2015-12-12;1.0
123;2015-12-13;1.0
124;2015-12-14;1.0
125;2015-12-15;1.0
126;2015-12-16;-1.0
127;2015-12-17;-1.0
128;2015-12-18;-1.0
129;2015-12-19;-1.0
130;2015-12-20;1.0
131;2015-12-21;1.0
132;2015-12-22;1.0
133;2015-12-23;1.0
134;2015-12-24;-1.0
135;2015-12-25;-1.0
136;2015-12-26;1.0
137;2015-12-27;1.0
138;2015-12-28;1.0
139;2015-12-29;1.0
140;2015-12-30;1.0
141;2015-12-31;1.0
142;2016-01-01;1.0
143;2016-01-02;1.0
144;2016-01-03;1.0
145;2016-01-04;1.0
146;2016-01-05;-1.0
147;2016-01-06;-1.0
148;2016-01-07;-1.0
149;2016-01-08;1.0
150;2016-01-09;1.0
151;2016-01-10;1.0
152;2016-01-11;1.0
153;2016-01-12;1.0
154;2016-01-13;1.0
155;2016-01-14;1.0
156;2016-01-15;1.0
157;2016-01-16;1.0
158;2016-01-17;1.0
159;2016-01-18;1.0
160;2016-01-19;1.0
161;2016-01-20;1.0
162;2016-01-21;1.0
163;2016-01-22;1.0
164;2016-01-23;1.0
165;2016-01-24;1.0
166;2016-01-25;1.0
167;2016-01-26;1.0
168;2016-01-27;1.0
169;2016-01-28;1.0
170;2016-01-29;1.0
171;2016-01-30;1.0
172;2016-01-31;1.0
173;2016-02-01;1.0
174;2016-02-02;1.0
175;2016-02-03;1.0
176;2016-02-04;1.0
177;2016-02-05;1.0
178;2016-02-06;1.0
179;2016-02-07;1.0
180;2016-02-08;1.0
181;2016-02-09;1.0
182;2016-02-10;1.0
183;2016-02-11;1.0
184;2016-02-12;1.0
185;2016-02-13;1.0
186;2016-02-14;1.0
187;2016-02-15;1.0
188;2016-02-16;1.0
189;2016-02-17;1.0
190;2016-02-18;1.0
191;2016-02-19;1.0
192;2016-02-20;1.0
193;2016-02-21;1.0
194;2016-02-22;1.0
195;2016-02-23;1.0
196;2016-02-24;1.0
197;2016-02-25;1.0
198;2016-02-26;1.0
199;2016-02-27;1.0
200;2016-02-28;1.0
201;2016-02-29;1.0
202;2016-03-01;1.0
203;2016-03-02;1.0
204;2016-03-03;1.0
205;2016-03-04;1.0
206;2016-03-05;1.0
207;2016-03-06;1.0
208;2016-03-07;1.0
209;2016-03-08;1.0
210;2016-03-09;1.0
211;2016-03-10;1.0
212;2016-03-11;1.0
213;2016-03-12;1.0
214;2016-03-13;1.0
215;2016-03-14;1.0
216;2016-03-15;1.0
217;2016-03-16;1.0
218;2016-03-17;1.0
219;2016-03-18;1.0
220;2016-03-19;1.0
221;2016-03-20;1.0
222;2016-03-21;1.0
223;2016-03-22;1.0
224;2016-03-23;1.0
225;2016-03-24;1.0
226;2016-03-25;1.0
227;2016-03-26;1.0
228;2016-03-27;1.0
229;2016-03-28;1.0
230;2016-03-29;1.0
231;2016-03-30;1.0
232;2016-03-31;1.0
233;2016-04-01;1.0
234;2016-04-02;1.0
235;2016-04-03;1.0
236;2016-04-04;1.0
237;2016-04-05;1.0
238;2016-04-06;1.0
239;2016-04-07;1.0
240;2016-04-08;1.0
241;2016-04-09;1.0
242;2016-04-10;-1.0
243;2016-04-11;-1.0
244;2016-04-12;-1.0
245;2016-04-13;-1.0
246;2016-04-14;-1.0
247;2016-04-15;-1.0
248;2016-04-16;-1.0
249;2016-04-17;1.0
250;2016-04-18;1.0
251;2016-04-19;1.0
252;2016-04-20;-1.0
253;2016-04-21;-1.0
254;2016-04-22;-1.0
255;2016-04-23;-1.0
256;2016-04-24;-1.0
257;2016-04-25;-1.0
258;2016-04-26;-1.0
259;2016-04-27;-1.0
260;2016-04-28;-1.0
261;2016-04-29;-1.0
262;2016-04-30;-1.0
263;2016-05-01;-1.0
264;2016-05-02;-1.0
265;2016-05-03;1.0
266;2016-05-04;1.0
267;2016-05-05;-1.0
268;2016-05-06;-1.0
269;2016-05-07;-1.0
270;2016-05-08;-1.0
271;2016-05-09;1.0
272;2016-05-10;1.0
273;2016-05-11;1.0
274;2016-05-12;1.0
275;2016-05-13;1.0
276;2016-05-14;1.0
277;2016-05-15;1.0
278;2016-05-16;1.0
279;2016-05-17;1.0
280;2016-05-18;1.0
281;2016-05-19;1.0
282;2016-05-20;1.0
283;2016-05-21;1.0
284;2016-05-22;1.0
285;2016-05-23;1.0
286;2016-05-24;-1.0
287;2016-05-25;-1.0
288;2016-05-26;-1.0
289;2016-05-27;1.0
290;2016-05-28;-1.0
291;2016-05-29;-1.0
292;2016-05-30;-1.0
293;2016-05-31;1.0
294;2016-06-01;1.0
295;2016-06-02;1.0
296;2016-06-03;1.0
297;2016-06-04;1.0
298;2016-06-05;1.0
299;2016-06-06;1.0
300;2016-06-07;1.0
301;2016-06-08;1.0
302;2016-06-09;1.0
303;2016-06-10;1.0
304;2016-06-11;1.0
305;2016-06-12;1.0
306;2016-06-13;1.0
307;2016-06-14;1.0
308;2016-06-15;1.0
309;2016-06-16;1.0
310;2016-06-17;1.0
311;2016-06-18;1.0
312;2016-06-19;1.0
313;2016-06-20;1.0
314;2016-06-21;1.0
315;2016-06-22;1.0
316;2016-06-23;1.0
317;2016-06-24;1.0
318;2016-06-25;1.0
319;2016-06-26;1.0
320;2016-06-27;1.0
321;2016-06-28;1.0
322;2016-06-29;1.0
323;2016-06-30;-1.0
